ID;Name;Below_Amount;Above_Amount;Minimize;Maximize;Unconstrained;Unit;Amount
1;Server_Square;0;0;0;1;0;External_Network;-1
1;Server_Square;1;0;0;0;0;Grid_Connection;3
1;Server_Square;1;0;0;0;0;Water_Connection;1
1;Server_Square;1;0;0;0;0;Space_X;1000
1;Server_Square;1;0;0;0;0;Space_Y;500
1;Server_Square;0;1;0;0;0;Data_Storage;1000
1;Server_Square;0;1;0;0;0;Processing;1000
1;Server_Square;1;0;0;0;0;Price;1000000
2;Dense_Storage;0;1;0;0;1;Grid_Connection;-1
2;Dense_Storage;0;0;0;0;1;Water_Connection;-1
2;Dense_Storage;0;0;1;0;0;Space_X;-1
2;Dense_Storage;0;0;1;0;0;Space_Y;-1
2;Dense_Storage;0;0;0;1;0;Data_Storage;-1
2;Dense_Storage;1;0;0;0;0;Price;5000000
3;Supercomputer;0;1;0;0;1;Grid_Connection;-1
3;Supercomputer;0;0;0;0;1;Water_Connection;-1
3;Supercomputer;0;0;1;0;0;Usable_Power;-1
3;Supercomputer;0;0;0;1;0;Processing;-1
3;Supercomputer;1;0;0;0;0;Space_X;2000
3;Supercomputer;1;0;0;0;0;Space_Y;1000
