name,id,x,y,width,height
Network_Rack_50,11,0,0,40,40
Transformer_1000,2,40,0,100,100
Network_Rack_50,11,140,0,40,40
Network_Rack_50,11,180,0,40,40
Server_Rack_200,15,220,0,40,40
Network_Rack_50,11,260,0,40,40
Water_Treatment_50,6,300,0,50,50
Water_Treatment_50,6,350,0,50,50
Server_Rack_200,15,400,0,40,40
Server_Rack_100,14,440,0,40,40
Network_Rack_100,12,480,0,40,40
Server_Rack_200,15,520,0,40,40
Server_Rack_200,15,560,0,40,40
Server_Rack_200,15,600,0,40,40
Server_Rack_200,15,640,0,40,40
Data_Rack_500,19,680,0,40,40
Data_Rack_250,18,720,0,40,40
Data_Rack_250,18,0,40,40,40
Server_Rack_200,15,140,40,40,40
Server_Rack_200,15,400,40,40,40
Server_Rack_200,15,440,40,40,40
Water_Supply_100,4,0,100,50,50
Water_Chiller_100,9,50,100,100,100
Water_Chiller_400,10,150,100,300,100
Network_Rack_50,11,0,200,40,40
Server_Rack_200,15,40,200,40,40
Transformer_1000,2,80,200,100,100
Server_Rack_200,15,180,200,40,40
Server_Rack_200,15,220,200,40,40
Transformer_5000,3,260,200,200,200
Server_Rack_200,15,0,240,40,40
Network_Rack_50,11,40,240,40,40
Server_Rack_200,15,180,240,40,40
Server_Rack_200,15,220,240,40,40
Server_Rack_200,15,0,280,40,40
Server_Rack_200,15,180,280,40,40
Water_Chiller_100,9,40,300,100,100
Network_Rack_100,12,0,320,40,40
Server_Rack_200,15,0,360,40,40
Water_Chiller_100,9,0,400,100,100
Server_Rack_200,15,100,400,40,40
Server_Rack_200,15,140,400,40,40
Server_Rack_200,15,180,400,40,40
Server_Rack_200,15,220,400,40,40
Server_Rack_200,15,100,440,40,40
Server_Rack_200,15,140,440,40,40
