name,id,x,y,width,height
Transformer_100,1,0,0,40,45
Transformer_100,1,40,0,40,45
Transformer_100,1,80,0,40,45
Transformer_100,1,120,0,40,45
Transformer_100,1,160,0,40,45
Transformer_100,1,200,0,40,45
Transformer_100,1,240,0,40,45
Transformer_100,1,280,0,40,45
Transformer_100,1,320,0,40,45
Transformer_100,1,360,0,40,45
Transformer_100,1,400,0,40,45
Transformer_100,1,440,0,40,45
Transformer_100,1,480,0,40,45
Water_Supply_100,4,521,0,50,50
Transformer_100,1,571,0,40,45
Transformer_100,1,611,0,40,45
Transformer_100,1,651,0,40,45
Transformer_100,1,691,0,40,45
Water_Supply_100,4,740,0,50,50
Transformer_100,1,790,0,40,45
Transformer_100,1,830,0,40,45
Water_Supply_100,4,880,0,50,50
Transformer_100,1,940,0,40,45
Transformer_100,1,980,0,40,45
Transformer_100,1,1020,0,40,45
Transformer_100,1,1060,0,40,45
Transformer_100,1,1100,0,40,45
Water_Supply_100,4,1140,0,50,50
Water_Supply_100,4,1190,0,50,50
Transformer_100,1,1240,0,40,45
Transformer_100,1,1290,0,40,45
Transformer_100,1,1330,0,40,45
Transformer_100,1,1370,0,40,45
Transformer_100,1,1410,0,40,45
Transformer_100,1,1450,0,40,45
Transformer_100,1,1490,0,40,45
Water_Supply_100,4,1530,0,50,50
Water_Supply_100,4,1580,0,50,50
Transformer_100,1,1640,0,40,45
Transformer_100,1,1680,0,40,45
Transformer_100,1,1720,0,40,45
Water_Supply_100,4,1760,0,50,50
Water_Supply_100,4,1830,0,50,50
Transformer_100,1,1880,0,40,45
Water_Supply_100,4,1930,0,50,50
Transformer_100,1,0,45,40,45
Transformer_100,1,40,45,40,45
Transformer_100,1,80,45,40,45
Transformer_100,1,120,45,40,45
Transformer_100,1,160,45,40,45
Transformer_100,1,200,45,40,45
Transformer_100,1,240,45,40,45
Transformer_100,1,360,45,40,45
Transformer_100,1,580,45,40,45
Transformer_100,1,620,45,40,45
Transformer_100,1,660,45,40,45
Transformer_100,1,700,45,40,45
Transformer_100,1,840,45,40,45
Water_Supply_100,4,990,45,50,50
Transformer_100,1,1290,45,40,45
Water_Supply_100,4,1340,45,50,50
Water_Supply_100,4,1390,45,50,50
Transformer_100,1,1450,45,40,45
Transformer_100,1,1640,45,40,45
Transformer_100,1,1690,45,40,45
Water_Supply_100,4,281,46,50,50
Transformer_100,1,400,47,40,45
Transformer_1000,2,440,50,100,100
Water_Supply_100,4,740,50,50,50
Water_Supply_100,4,790,50,50,50
Water_Supply_100,4,891,50,50,50
Water_Supply_100,4,1040,50,50,50
Water_Supply_100,4,1090,50,50,50
Water_Supply_100,4,1140,50,50,50
Water_Supply_100,4,1190,50,50,50
Water_Supply_100,4,1240,50,50,50
Water_Supply_100,4,1490,50,50,50
Water_Supply_100,4,1540,50,50,50
Water_Supply_100,4,1590,50,50,50
Transformer_1000,2,1730,50,100,100
Water_Supply_500,5,1840,50,150,100
Transformer_100,1,0,90,40,45
Transformer_100,1,40,90,40,45
Transformer_100,1,80,90,40,45
Transformer_100,1,120,90,40,45
Transformer_100,1,160,90,40,45
Transformer_100,1,200,90,40,45
Transformer_100,1,240,90,40,45
Transformer_100,1,331,90,40,45
Transformer_100,1,540,90,40,45
Transformer_100,1,580,90,40,45
Transformer_100,1,620,90,40,45
Transformer_100,1,660,90,40,45
Transformer_100,1,700,90,40,45
Transformer_100,1,1680,90,40,45
Transformer_100,1,400,92,40,45
Transformer_100,1,990,95,40,45
Transformer_100,1,1330,95,40,45
Water_Supply_100,4,1390,95,50,50
Water_Supply_100,4,740,100,50,50
Transformer_100,1,790,100,40,45
Water_Supply_100,4,890,100,50,50
Water_Supply_100,4,940,100,50,50
Water_Supply_100,4,1040,100,50,50
Transformer_100,1,1100,100,40,45
Water_Supply_100,4,1140,100,50,50
Water_Supply_100,4,1240,100,50,50
Transformer_100,1,1490,100,40,45
Water_Supply_100,4,1540,100,50,50
Transformer_100,1,1600,100,40,45
Transformer_100,1,0,135,40,45
Transformer_100,1,40,135,40,45
Transformer_100,1,80,135,40,45
Transformer_100,1,120,135,40,45
Transformer_100,1,160,135,40,45
Transformer_100,1,200,135,40,45
